question_id,member_id,question,type,ambiguous
15239,69388,這裡省略的to與句子裡的do合起來是不定詞嗎？,6,0
14711,69388,1.presenting在這裡是什麼意思及詞性 2.這個句子該從哪裡翻譯比較好呢？,13,0
50534,98302,You are always judged by the way you perform.   you 發音好像被省略了對嗎? 什麼時候才要省略,13,0
50531,98302,影片中的 you know 的KNOW 似乎沒有發音? 這是可以被省略的嗎?,13,0
69129,91891,or so 的詳細用法,10,0
55858,99605," tongue  這個字怎麼發音？ 怎麼念 "" 湯 """,13,0
17523,76197,"這邊 causing another engine fire 是由 it cause another engine fire 簡化來的,   請問fire在這兒是當作甚麼詞類? 可以用 causing another engine to fire ? 或者用  causing another fire engine ? or causing another engine fired ?",12,0
96237,84855,this time 為何用過去式was？,3,0
86387,84855, want to have   後面的cut、commit為什麼不是用原型動詞而是加ing ？,12,0
59341,84855,這句後面為什麼要加 been，是現在完成式但簡化了嗎？,1,0
39354,84855,"為何原因聽 不到  ""gonna""的發音",13,0
39352,84855,為什麼不用compost   而用composted ,12,0
29910,84855,"I've been Molly from Jobaroo, and those have been our Working Holiday Visa dos and don'ts. 這句說我是Molly時 為何要用完成式而不直接說I'm Molly",1,0
27303,84855,The next component to understanding a table setting is to understand the progression of your cutlery. 這句understand 為什麼要加ing？,9,0
18339,55981,we want is we wanna是省略受詞代名詞嗎?,10,0
11250,55981,"gets the final decision on  I don't understand why use the ""on""",9,0
3238,55981,She told me after she was diagnosed that death was not what saddened her the most.  請問為何要加what,7,0
27212,84925,請問whatever it is they are talking about中間省略that有文法錯誤嗎？謝謝,5,0
85408,69895,這裡的better是副詞用嗎？在不定詞to 後面不是通常都是動詞嗎？,6,0
71084,69895,"這裡的had had for me.... had had for myself. 第一個had跟第二個had這裡代表什麼意思呢？ 另外，為何這裡就可以翻為""為了你"" ""為了我自已""?",13,0
70023,69895,in retrospect satisfied nobody. 這句話的語意及文法有點不了解。 是指在回憶中，沒有人是滿意的，是這樣的意思。 文法是 in + 名詞 + 形容詞 + 名詞？這樣好像怪怪的,5,0
69817,69895,"對於這個文法使用whom, 我實在有些confused, 為何不使用both of them就好了呢？",5,0
55045,69895,used to .....說明是過去常在做某事，且現在都沒有做了意思，是嗎？,3,0
36840,69895,我一直聽這個小男生前面說but you tell me the worldwide problem... 是嗎？,13,0
36835,69895,我聽到是… even if they seem never go out of the house. 少了seem喔,13,0
32124,69895,"you'd be a good person to talk ""to"" 這裡的to 可以省略嗎？",9,0
26871,69895,後面那句話，I found out shortly after that it was her. 在這裡用法有一點不太懂after是之後，那為何要加上that?,10,0
23194,69895,"So now you're eight years in to it. 這句有點不懂，看文法翻為""你是八年在那裡面"" 為何可以用you're + 八年，不是用your eight year 你的八年這樣比較順嗎？",13,0
23042,69895,"spotted為何用""被發現""來翻譯，我有些不太懂",13,0
20943,69895,to understanding..... 在這裡用 to + ving.. 這裡類似looking forward to hearing from you是嗎？ 後面這個加上ing的詞是動名詞嗎？,9,0
19723,69895,這裡的發音實在跟英文差好多喔…是確定from嗎？ from 這個字我聽到good....,13,0
15231,69895,她的一開始的開頭 是 So I'm gonna use.....嗎？ 我怎麼聽到的是So I use....,13,0
14984,69895,"take your wings off next. 我聽不出來有your的音，所以若我remove ""your"", 這句子文法是對的嗎？ or 我加上the 也可以嗎？",13,0
37633,63264,store away 儲存 = store  那為什麼還要多此一舉，使用away？有什麼特殊意義嗎？,9,0
36144,63264, What if they find out I'm gay?  這邊句意是翻成：如果他們發現我是同性戀呢？ 但是What if這個片語的意思不是：要是......又怎樣？  所以當我翻譯這句的時候，是翻成：要是他們發現我是同性戀又怎樣？ 不過系統中的句意卻跟我所翻譯的不一樣：如果他們發現我是同性戀呢？  為什麼Ellen不乾脆講：  If they find out I'm gay? Then they'll never watch. 省略掉What的話，不就比較接近系統翻譯的句意嗎？（如果他們發現我是同性戀呢？那麼他們就永遠不會看了。）,13,0
36141,63264,they wouldn't laugh at me. 這個為什麼是翻譯成：他們就不會因我而笑 當我自己初次翻譯的時候，卻會認為是：他們不會嘲笑我  「他們就不會因我而笑」，與「他們不會嘲笑我」，在英文表達上的差異在哪？ ,13,0
6826,63264,Why waste this life not loving?  這句感覺很像直接按照字面從中文翻成英文， 為什麼不是這樣寫？→ Why do we waste our life without loving?,13,0
5221,63264,"2. 老師的語調跟影片中外國人的語調還是有一些些不一樣，那麼什麼情況是跟著老師念？什麼情況跟著外國人念？但跟外國人念跟不上。 3.  我聽了很多次，字幕上有寫you know, Will Shakespeare.....，但是不管怎麼聽，外國人講話我聽不到他有發音念說Know這個字，找了很多人來聽，大家都說外國人說的是you will....",13,0
4913,57637,為什麼一個句子裡有二個連接詞so.and,10,0
3748,57637,the fact that 後面為什麼接了兩個句子she never really felt like she had fallen in love.,3,0
2842,57637,"kept in touch"" through"" the years after. 請問引號中的字在片中發音為何?",13,0
2840,57637,"allowed me ""to"" see she also had a good heart ""and a"" bright spirit. 請問引號中的字，片中是如何發音的，幾乎聽不到...",13,0
22958,81488,系統常常出問題...無法聽到原音? Why ?,13,0
25313,55954,如何辦定單字是vi.不及物動詞 或是vt.及物動詞,9,0
59101,88244,"請教老師最後一句話 the person who gets the final decision on if you're hired or not. decision ""on""的on ，這個介係詞為什麼放這裡？如果沒有這個on，文法上或是與議會差很多嗎？",9,0
30766,88244,"影片中的老師它在說器官之前的""the""`, 一開始她念正常的the， 後來發音改成""ZI""(不知道這寫老師能不能理解@@) 以前有學過只要the後面街的單字第一個字母是母音(aeiou)要發ZI 這個概念是不是中文中， 我們說""總統府""，(三聲、三聲、三聲)， 為了""好發音""所以變成""總統府""，(二聲、二聲、三聲)？  如果在講話的時候不小心像影片中的講者發正常的the(後來她自己修正成ZI) 這對於對話中會有影響嗎？ 這是不是只是外國人為了說話發音方便才改成ZI一樣的意思：Ｄ？",13,0
30536,88244,請問老師，as well as (和、也) 這跟最常看到的and最大的不同在哪裡呢? A as well as B A and B,6,0
30298,88244,"yet是""還""的意思  and yet we understand him all the time 然而我們總是了解他  這裡的 ""and yet"" 是""然而""的意思嗎? 不太確定怎麼翻譯呢...",13,0
30284,88244,"像是They've是They have的縮寫， 在發音上也只會發""they""的發音。 那我想請問，這在口語的使用上， 我想要表達'They've""的時候，對方聽得懂嗎? 因為只有they的發音， 還是說對方會在腦海中自動補上"" 've ""？  這問題很妙，不過真的苦惱好久呀~""~ (怕詞不達意，實際運用時被誤解)  ",13,0
30276,88244,"請問，在這一句的發音裡面，我重複聽了好多遍， you've got to be able to learn how to articulate your message， how to的中間，是不是有一個""about"" 因為我有聽到一個""b""的聲音， 在練習錄音的時候會一直想要多個about ~""~  還是說因為影片發音太快把聲音連在一起才會好像有""about""的感覺@@",13,0
9515,59457,end up 後面加on 也是介係詞? ,9,0
9242,59457,went ahead=go ahead 是有繼續的意思嗎?,3,0
8576,59457,graduate +ing ?原因是?,12,0
7680,59457,在這裡用could 是表示?,3,0
7556,59457,這裡也是用leg 翻譯成大雞腿?,13,0
7553,59457,可是這裡leg翻譯成大腿耶?,13,0
7072,59457,bursting 的用法我不清楚耶~,9,0
6426,59457,老師，這裡的中譯變成我無法弄清to這裡的用法，我自己從英文句子看，是北方的高速氣流南降，好像留了一扇敞開的大門使空氣冷冽了~我覺得這to 有 使 的意思耶?,12,0
5225,59457,這裡的with可以用have 嗎?謝謝老師,9,0
4595,59457,"在這裡，crashed, shattering, being knocked 有不同時態，為什麼後面那二個不能繼續用過去式呢? 謝謝老師",3,0
3546,59457,throughout 是介係詞嗎?我不知如何用這字,9,0
3135,59457,請問beat-driven，  driven在這裡的詞性是?,12,0
2846,59457,你好~影片原音的you know是連起來發音了是嗎? 實在聽不太出來耶,13,0
59626,91101,"in it for
為何這樣使用有in 跟for",9,0
59264,91101,"......I might have found useful.
為何這裡需要放have? ",12,0
44150,91101,You wanna be... 為何加be,2,0
41490,91101,"and after we had heard her, and after we had developed the organs of articulation, we began to imitate our mom. 為何用過去完成式?",1,0
35183,91196,"請問此句也可以翻譯成這樣嗎?    ""如果你想用英文表達，對於減少你的語調有三個重點""  另外~我也想請問句中的crucial指的是重要~ 能改用important這個單字嗎?",13,0
14494,73177,"在　As soon as that man opens his mouth, you hear his mother tongue　裡，as soon as 有連接詞的功能嗎？",10,0
13318,73177, 在you've got to 這句話裡，縮寫的ve要不要發音? 　,13,0
36436,91438,"So throughout our lives ,throughout 形容詞修飾 our lives嗎?",9,0
36769,87363,weather and snow is just one idea. 這句的翻譯我不太了解! 什麼是:天氣和下雪是同一個概念.,13,0
19038,74986,cheeks filled to bursting to加ing?,9,0
19037,74986,he's got a better idea  為什麼he後要加is,1,0
47420,95847,You are always judged你總是被評論。by the way you perform這句完全不懂。整句翻譯過來的意思，和我自己理解的不同。,13,0
10254,24079,"請問關於rarely 較少的 這字的發音，原音跟老師唸都聽好幾遍都只聽到""re""的音 跟音標[ˋrɛrlɪ] 有點差別，另外這個字是不是可用less取代呢？",13,0
17081,74852,請問decision跟if中間加上on的用意為何？,9,0
20360,17766,tongue 後面為何不發音？,13,0
1343,55464,"Let's take Jackie Chan.  As soon as that man opens his mouth, you hear his mother tongue, and yet we understand him all the time, and he makes tons of money performing in American movies. 我想請問在講到""and yet we understand him all the time""，那個yet字的用法。這裡yet似乎應該當副詞，因為前面有and這個連接詞，所以這裡是當「然而」用嗎？謝謝",10,0
13808,74011,為什麼perform需要ing,12,0
9987,67938,請問be  used  to  過去經常/習慣 used to 在此不是當片語解釋嗎,8,0
9868,67938, 請問articulation 在此解釋為什麼 因為翻譯看不出有解釋他,13,0
46447,76802,"請問 ""make up"" 跟""made up""的使用方法有一樣嗎? ",3,0
38567,76802,"這裡的loving,是因為前面有waste動詞所以才改ing嗎? 可以改成to love嗎?",12,0
38565,76802,"「of being hurt, and of being held」  這裡be 為什麼要加ing?",9,0
35179,76802,"say, ""I'm gonna do this; I want this so bad, I'm gonna finish it!"" 說：『我要做這件事；我如此想要這件事，我要完成它！』的能力。」  為什麼這裡的「 I want this so bad」是翻譯成「我如此想要這件事」",13,0
23136,76802,"「But if you've had」在""ve""的地方無論是聽原音或是老師朗讀，好像都不是那麼的清楚，而自己練習時感覺又很饒舌，請問在練習這句子時，是不是""ve""沒那麼強調?",13,0
23030,76802,1.「What people will often do」 what是關係副詞嗎? 前面看起來沒有要引導的句子需要使用what嗎?  2..「is they'll retreat」 為何這裡be動詞用is?而為何又有Be動詞及助動詞will同時出現的狀況?,10,0
5052,63267,你的表現，為什麼是使用you perform,5,0
14515,25021,"您好，不好意思，其實我想問的不是這句，而是上一包，但因為無法倒回去詢問，只好在這裡提出，對不起。 上一句是， For many of you, today, success is being able to hold down 20 shots of tequila. 我想請問的是在這裡的is being able, 我有點混淆，希望能請老師幫忙。 在這裡的being  能否省略呢？ 或只是加強語氣，還是做為被動式的功能呢? 麻煩您了， 謝謝. ",8,0
8001,25021,"您好， 想請問， by late fall, he will have amasses .... , 後面為何用 stored 呢? 謝謝",12,0
25956,78869,請問so有這裡的用法跟意思是什麼?,10,0
21362,78869,請問 you're left with the breast 與you left the breast有什麼不同?,8,0
6558,63702,"one of the greatest gifts “we have of being alive ”is the ability to give, receive, and even lose love  引號中的英文怎麼翻？當中用of的意思是什麼？",13,0
83879,61924,"And when they heard the new music, they realized that that wasn't the  case at all.  這句有2個THAT，請問是正確的嗎?  發問是只能問影片相關的嗎? 那影片外有問題，可以發問嗎?",10,0
57063,81642,"這句提到的主要失敗原因,是否為忽略文化以及擴張人力資本這兩件事? 因為動詞聽起來是are, 不是is",13,0
81129,66589,請問為什麼touch down不是使用過去式而是現在式？謝謝！,3,0
79134,66589,請問為什麼是用creating而不是create呢？謝謝！,12,0
43839,66589,請問這個過去式的句子裡，shattering和being為什麼是用v+ing的形式出現呢？謝謝！,3,0
18549,66589,"這裡""be prepared""看起來不適用被動式，請問是否為祈使句的用法？ 謝謝！",8,0
14024,66589,"您好，麻煩說明一下 talk to your veterinarian about having them vaccinated as well這一句 ""having""與""vaccinated""在此的詞型和時態該如何理解？ 謝謝！",12,0
58177,102549,"這段影片真的很不適合暖身，英式語法，都是介係詞與倒裝句，不符合自然語法，我敢說學完後:1.多數人還是不能清楚了解她要表達甚麼。 2.多數人還是無法自然重複她所說的句子，必須要看著字幕唸，因為她所說的句型與我們的語言模式差異太大，可以簡單說的句子，搞得咬文嚼字的，美語是不會這樣說的。  例如:  It isn't your accent that's the problem. 初學者怎麼可能用這種語法說話，還是否定句，能說出 Your accent isn't the problem. 就是不錯的了。  像現在叫我們停止甚麼? 又要開始甚麼?  開始影片嗎? 我們已經在看影片了，要我們先暫停再播放嗎? 翻譯也只是照句子翻，到底講者要我們做甚麼? 整段影片都沒有表達很清楚。as 在這裡當甚麼解釋? 看了這影片，我想大家真的決不可能""攻其不背""的，太多出格的句型，怎麼可能自然嵌入思考結構。我想若其他影片都是這樣，我會退費。 ",13,0
32104,58396,"what's the different between ""as the crow flies"" and ""short cut"", and when is the situation to use them?",9,0
118014,85704,"while 2009's temperature may not have been the global record-breaker, it is in line with a long-term trend，telling scientists that the planet is getting warmer. 上面有while當兩個句子的連接詞，但後面的telling前面是省略連接詞嗎???",10,0
101087,85704,"So much power was.....stage,filming was.... 請問兩個句子中間為何沒連接詞?",10,0
65898,85704,"應該是you're a workaholic , you have children, and you don't.... A,B,and C  ，是不是少了and ???",10,0
62505,85704,is I encourage  be動詞和encourage動詞中間無連接詞嗎???,10,0
62378,85704,or the impression that they'll.....  中間的that為關係代名詞可以省略嗎??,5,0
57193,85704,"此為 A,b,C and D句型嗎??",10,0
55344,85704,"Throw ..,cover it....., let it...... 為 A,B,and C句型才對，為何最後let前沒有加and???",10,0
53683,85704,you just wanna cut right through that to remove the leg.  中間不是有連接詞that，為何remove前要加to???,10,0
46419,85704,so you're not meeting a stranger.  這是現在進行式嗎???如果是這樣，和中文翻譯你之後不會遇到陌生人意思不同 after you don't meet the stranger，是不是會比較符合中文意思?? ,13,0
45909,85704,"Place the six ...... ,give the cards...maybe you can.. 為何中間都沒有連接詞???",10,0
43970,85704,"最後是用 they were in it for, 而不是用 they are???",3,0
43958,85704,Remember there are people .....  一個子句怎會有兩個動詞(remember和are)擺一起，中間沒有連接詞??,10,0
42577,85704,為何這裡 be動詞是用is，而不是用are，不是指good small business and excellent small businesses兩件事情?,9,0
41103,85704,profile查字典是外觀；形象，這裡翻訪是檔案嗎??,13,0
36877,85704,"our hands are out and up, we make good eye contact. 中間的連接詞呢???",10,0
36109,85704,這裡為何要用where?? 它是關係代名詞嗎?,5,0
35260,85704,"看中文翻譯""工作面試最好的一個預設問題""......  英文應該是 The best single predictor question???不是嗎??    ",13,0
35039,85704,"1.為何用but to make?? 而不是直接 but make things就好了 2.specialist agency後面關係代名詞為何用who,而不是which??它不是指代辦嗎??",5,0
35038,85704,為何不是寫Similar to set up.......,9,0
21302,78971, how awesome it would be for them to do the work  翻譯不出來 謝謝,13,0
21301,78971,1.you is often not   等於 you isn't often ?? 謝謝 2. who gets the final decision on if you're hired or not.   可以用to嗎  還是一定要用on,9,0
2718,56547,為什麼這邊的say不用加ing呢? ,12,0
71939,90847,"這邊後面的you move on並沒有接你繼續要做的事,可是這邊給的翻譯是你就接著繼續找別人,請問是為什麼? ",13,0
71262,90847,為什麼是用by而非at?,9,0
96228,88328,"請問為什麼這句前面都用could過去式，而...imagine the impact that ""can"" have on the issue.卻用""can""現在式？",3,0
94099,88328,"now just months，這句在翻譯中是""僅僅幾個月""，請問之後都可以這樣用嗎？",13,0
94088,88328,乘上題，所以這個that是名詞子句的that，不是形容詞子句的that囉！那請問這句怎麼從結構分辨它是名詞子句的that，不是形容詞子句的that呢？沒聽講解前一直會把that當成關代的主詞。,13,0
93561,88328,問題一： 當了解整句的意思後，才會把as you speak 及to show that you're listening拆開來解釋，一開始很容易誤解為as you speak to show that you're listening.是一整個完整的副詞子句，要如何分辨呢？  問題二：...show that you're listening. 句中that的詞性及用法是什麼？,10,0
93051,88328,請問that後面接的詞性有限制嗎,10,0
88386,88328,""" throughout our lives""這句的發音是否有連音，聽起來只有兩個單字的發音？請問如何唸才能像原音一樣呢",13,0
49036,89629,請問這邊的just so怎麼翻? 這種用法常見嗎?,13,0
47823,89629,"請問這邊的I'd的全文是 I would嗎? if so , why not ""I will be ....""",3,0
47037,89629,"為什麼上一句是說 if you were fired at the job , 這句則是用from the job? ",9,0
45805,89629,請問這邊為什麼要用where 不用when?,5,0
45426,89629,請問這邊的predictor是預言家的意思嗎? 感覺怪怪的 還是要predictor question一起看? 可否說明一下怎麼翻比較好呢? 謝謝,13,0
45033,89629,這邊最後的apply in也是翻成適用於 所以可寫成apply to the job interview嗎?,13,0
44328,89629,10 to 20 times more efficient -> 沒有看到than ? 還是有省略什麼呢? 請問這邊的介係詞為什麼要用in呢?,9,0
43612,89629,"為什麼這邊是用on how to do exactly that , 不是用 for how to do exactly that ? 什麼時候要用on , 什麼時候要用for呢?  謝謝 ",9,0
43608,89629,這邊的 in the evolution翻成在發展中是什麼意思 我印象中 evolution不是進化的意思嗎?,13,0
42214,89629,請問這邊的 you'll do a lot better ? 翻成更好得多  是什麼對什麼更好得多? 這是一句口語常用的用法嗎? 是否有其他例子?,13,0
41942,89629,"請問這邊可以說are on the bottom嗎?  我記得以前在學撲克牌那一課時,  on the bottom也是翻譯成""在下面,在底部""",13,0
41690,89629,as many dollars from your wallet as possible 我覺得聽起來比較像是 in your wallet 不適from your wallet耶? 是我的錯覺嗎?,13,0
41687,89629,"sophisticated landscape : 本劇翻成經驗老道的景觀  又沒有更好的翻譯法 比較白話文的, 這樣直接翻好像有點怪怪的 不太知道他想表達的意思",13,0
34501,89629,"我看不懂翻譯的 because it isn't your accent that's the problem : ""因為並不是你的腔調是那個問題"" 是什麼意思  我翻成你的腔調不適那個問題好像也怪怪的?",13,0
92879,71168,"1.Taking the time...and people will請問and這是使用兩個獨立子句嗎？2.還有請問下面的build trust...,better...,manage in an ethical and socially responsible way這裡的 and為什麼沒有對等連結詞性？",10,0
11883,71168,be used to不是代表經常的意思，他後面不是要加動名詞嗎?這裡好像不一樣，,8,0
117330,90976,"關於what we loved about each other ""about""在這邊是誰的受詞?",9,0
109909,90976,twists both ends of the wrapper closed. 這個地方的closed是adv?,12,0
37729,90976,"maybe nodding your head as you speak to show that you're listening.  這句中文解釋是不是應該是 ""也許點點你的頭來表達你正在聽"" 比較合理?",13,0
121696,90504,"I mean, it was so important for me to lose everything because I found out what the most important thing is is to be true to yourself. 我想請問之前影片中的這句話【most important thing is is to be true to yourself.】 這句有兩個  is is  連在一起 ，在聽得時候會聽不大出來，這裡有兩個is",13,0
94804,90504,  information on how nutrition 的介係詞用的是 on  請問英文句子中 應該如何判斷該用何種介係詞呢? 是要多閱讀嗎?,9,0
92734,90504,", driving results and effectiveness up, up, up  想請問這裡的 driving 問什麼要用 ing 可以改成 to drive 嗎?",12,0
92730,90504,請問 syndicate 這個單字在課程中翻譯成推銷的意思 可是在字典中卻找不出這個意思 如果遇到這種中譯對不上的情況時，該怎麼解決呢?,13,0
92731,90504,請問 syndicate 這個單字在課程中翻譯成推銷的意思 可是在字典中卻找不出這個意思 如果遇到這種中譯對不上的情況時，該怎麼解決呢?,13,0
92653,90504,sure you've got your story straight. 想請問這裡為什麼要用完成式呢?,1,0
83142,90504,在 caused 前省略了that was  那平時，我們該怎麼察覺這裡原本有東西被省略呢? 然後這句是名詞子句嗎?,7,0
76573,90504,請問 I think I'll go with fresh-squeezed   可以加上that 嗎?   I think that  I'll go with fresh-squeezed 有時候英文中，加不加that對我來說實在是很難理解 想請問 that 什麼情況能加，什麼時候不能加? 謝謝,10,0
76255,90504,請問這裡There have been people that said that I couldn 為什麼要用完成式呢? 謝謝,1,0
72968,90504,we can also be attentive to what we do well and what we can improve. 請問像是這句中的 and 在母語人士說話時，好像都是用很輕的方式說過或是連音帶過，而大部分的連接詞，好像都是這樣，請問在聽力時，該怎麼留意或分辨?  謝謝,13,0
64785,90504,"That shows me that I'm doing the right thing, being here, 請問這裡不能用 be here 嗎?  如果不行的話，是什麼原因",5,0
44343,90504,在聽力時，can和can't兩個音很類似，很難聽出來，請問可以怎麼分辨? 把can't說成can not不是更清楚嗎?  為什麼很少人這樣用  謝謝,13,0
44125,90504,請問英文句子中有很多that，一定要有這些that嗎?  可以省略嗎,5,0
34294,90504,請問這句話在影片原音中，of的音都聽不清楚，是外國人都省略了?還是因為念很快的原因 可是在老師朗讀中第1個of的音一樣聽不清楚，可是第二個就好多了  ,13,0
50478,52554,"在平常對話的情境中   什麼時候會用簡單be動詞  I'm Molly... those are, 什麼時候會用have been的說法？",1,0
46646,52554,"you get stock to have on hand.  如果把 you get stock 看成是 S + V + O, 那這樣後面的 to have on hand 要怎麼理解?",6,0
45624,52554,You can see 後面的部分聽起來像是 just over here  請問 do you see 要怎麼連音才能聽起來像影片中的樣子,13,0
12418,67909,"原音影片在""So I'm gonna use kitchen shears for this.""的""gonna ""這邊的發音是連音嗎?",13,0
12359,67909,"""left""再這邊是什麼詞性?",12,0
45761,95660,這裡的 yet 是副詞還是連接詞呢? 在這裡怎麼翻? 是翻成沒有?,13,0
96481,85055,yet it took far less time.  不太懂這句的翻譯... 耗費少得多的時間?  所以是 耗費比較多的時間?,13,0
87166,85055,"是否這是固定形式了?  因為依照課文中是  "" is given to + Ving ??""    ",9,0
52471,85055,have of being <<<   為何 have 後面 要加of  不可只接 have being alive is ,9,0
38076,85055,I've been Molly << 為何要用 現在完成式呢?  為何不說 I'm Molly ??,1,0
29119,85055,you've got one minute = 不能寫作 you get on minute..嗎? ,1,0
29112,85055,"have worked hard << 為何用現在完成式?  不能只是  you ""worked"" hard for it , and you deserve it.",1,0
28809,85055,第一句 的 were to ask = 可以寫作 were asking嗎?,11,0
28790,85055,has since impacted   has 在這句話 有意思的嗎?  since 後面 不接時間的話..  可直接 加動詞 無需 主詞嗎?,1,0
28063,85055," you're gonna put in some hours.  you ""are gonna "" put . 為何 gonna 前面能加""are""  gonna 不是等於 = go to 嗎@@    若可以加are 的話, 為何前面一句   ""you gotta plan on it "" << 這句的you後也沒be動詞",2,0
26812,85055,"he makes tons of money  """" performing """" in American movies.  這句中得performing 為何要加ing ? 是由於前面的 ""makes ""嗎?",12,0
19845,79118, yet 不是還沒或是依然的意思嗎?放在這裡我不懂是怎麼翻譯耶?,13,0
110909,57638,"If men don't have to be aggressive in order to be accepted, 為什麼這句不是翻譯成 如果男性為了被接受而變得較不激進 而是 如果男性不必為了被接受而變得激進",13,0
110484,57638,怎麼去辯別word和world的發音,13,0
103455,57638,literally lifts the type off the page 這邊的literally是字面上的 lifts off是什麼意思呢？ type是指文字嗎？ 謝謝,9,0
102674,57638,guilt-free在這邊是名詞或副詞呢？,9,0
102670,57638,句中的t的發音感覺很不強烈呢！聽起來像是肯定句,13,0
101450,57638,"為什麼這邊的句型結構不是Whether S+V, S+V 呢",7,0
100760,57638,這邊是否只有一個have的發音呢？,13,0
98731,57638,desperate的rate的發音是不是省略掉了呢？,13,0
97848,57638,access和excess這兩個發音有不同嗎？,13,0
96504,57638,怎麼區分arrow和error發音呢？,13,0
96034,57638,suite和sweet的發音是否相同呢？,13,0
91610,57638,once daily they open the barrel and mix the  moromi to aerate the gases that  build up.  mix the moromi指的是把醬油湖混合 後面這句to aerate the gas that build up看不太懂想表達什麼，that指的是什麼東西呢？ ,5,0
89311,57638,how it would feel to have been born other than they are. 想問一下這邊的it指的是什麼呢？ 另外如果不是how的句型，它的原始句型是怎樣的呢？ 因為沒辦法一聽到就馬上理解講者想表達什麼，所以想要知道文法結構 謝謝,13,0
88715,57638,"So given a Time Turner, 1. 請問這句的假設語氣是So if I was given a Time Turner嗎？ 2.有沒有類似結構的句子可以練習呢？ 3.我記得第一次上這堂課時有文法解說，若想複習要去哪裡找呢？",11,0
68055,88978,"""On this wonderful day when we are gathered together to celebrate your academic success, I have decided to talk to you about the benefits of failure."" 這段話聽原文, 應該是以下: On this wonderful day when we are gathered together to celebrate all your academic success, I have decided to talk you about the benefits of failure.",13,0
